episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
0,149,0.0,149,0.9994636,True,False
1,377,30.0,228,0.9986428,True,False
2,519,10.0,142,0.9981316,True,False
3,665,35.0,146,0.997606,True,False
4,824,30.0,159,0.9970336,True,False
5,1077,120.0,253,0.9961228,True,False
6,1250,30.0,173,0.9955,True,False
7,1436,15.0,186,0.9948304,True,False
8,1595,50.0,159,0.994258,True,False
9,2082,120.0,487,0.9925048,True,False
10,2264,15.0,182,0.9918496,True,False
11,2364,0.0,100,0.9914896,True,False
12,2653,110.0,289,0.9904492,True,False
13,2845,85.0,192,0.989758,True,False
14,3123,85.0,278,0.9887572,True,False
15,3555,120.0,432,0.987202,True,False
16,3719,45.0,164,0.9866116,True,False
17,3995,55.0,276,0.985618,True,False
18,4089,0.0,94,0.9852796,True,False
19,4339,65.0,250,0.9843796,True,False
20,4764,320.0,425,0.9828496,True,False
21,4916,60.0,152,0.9823024,True,False
22,5102,50.0,186,0.9816328,True,False
23,5405,290.0,303,0.980542,True,False
24,5533,5.0,128,0.9800812,True,False
25,5688,20.0,155,0.9795232,True,False
26,5840,45.0,152,0.978976,True,False
27,6014,75.0,174,0.9783496,True,False
28,6157,0.0,143,0.9778348,True,False
29,6312,30.0,155,0.9772768000000001,True,False
30,6702,165.0,390,0.9758728,True,False
31,6860,60.0,158,0.975304,True,False
32,7022,60.0,162,0.9747208,True,False
33,7163,15.0,141,0.9742132,True,False
34,7338,30.0,175,0.9735832,True,False
35,7500,45.0,162,0.973,True,False
36,7691,65.0,191,0.9723124,True,False
37,7878,65.0,187,0.9716392,True,False
38,8018,50.0,140,0.9711352,True,False
39,8233,50.0,215,0.9703612,True,False
40,8386,20.0,153,0.9698104,True,False
41,8544,45.0,158,0.9692416,True,False
42,8752,75.0,208,0.9684928,True,False
43,8907,105.0,155,0.9679348,True,False
44,8989,0.0,82,0.9676396,True,False
45,9136,35.0,147,0.9671104,True,False
46,9357,35.0,221,0.9663148,True,False
47,9546,30.0,189,0.9656344,True,False
48,9771,30.0,225,0.9648244,True,False
49,10197,125.0,426,0.9632908,True,False
50,10593,135.0,396,0.9618652,True,False
51,10759,45.0,166,0.9612676,True,False
52,10930,45.0,171,0.960652,True,False
53,11060,5.0,130,0.960184,True,False
54,11212,5.0,152,0.9596368,True,False
55,11594,105.0,382,0.9582616,True,False
56,11767,75.0,173,0.9576388,True,False
57,12100,105.0,333,0.95644,True,False
58,12252,5.0,152,0.9558928,True,False
59,12394,35.0,142,0.9553815999999999,True,False
60,12617,35.0,223,0.9545788,True,False
61,12770,50.0,153,0.954028,True,False
62,13111,120.0,341,0.9528004,True,False
63,13261,30.0,150,0.9522604,True,False
64,13502,75.0,241,0.9513928,True,False
65,13776,55.0,274,0.9504064,True,False
66,13933,45.0,157,0.9498412,True,False
67,14139,105.0,206,0.9490996,True,False
68,14326,55.0,187,0.9484264,True,False
69,14542,35.0,216,0.9476488,True,False
70,14689,30.0,147,0.9471196,True,False
71,14991,55.0,302,0.9460324,True,False
72,15290,45.0,299,0.944956,True,False
73,15443,50.0,153,0.9444052000000001,True,False
74,15593,60.0,150,0.9438652,True,False
75,15700,25.0,107,0.94348,True,False
76,16065,95.0,365,0.9421660000000001,True,False
77,16175,5.0,110,0.94177,True,False
78,16393,110.0,218,0.9409852,True,False
79,16585,55.0,192,0.940294,True,False
80,16865,125.0,280,0.939286,True,False
81,17022,5.0,157,0.9387208,True,False
82,17231,80.0,209,0.9379684,True,False
83,17383,5.0,152,0.9374212,True,False
84,17596,50.0,213,0.9366544,True,False
85,17877,130.0,281,0.9356428,True,False
86,18178,130.0,301,0.9345592,True,False
87,18328,35.0,150,0.9340192,True,False
88,18821,320.0,493,0.9322444,True,False
89,18974,20.0,153,0.9316936,True,False
90,19405,155.0,431,0.930142,True,False
91,19558,50.0,153,0.9295912,True,False
92,19708,5.0,150,0.9290512,True,False
93,19920,45.0,212,0.928288,True,False
94,20053,20.0,133,0.9278092,True,False
95,20178,15.0,125,0.9273591999999999,True,False
96,20329,15.0,151,0.9268156,True,False
97,20476,35.0,147,0.9262864,True,False
98,20631,10.0,155,0.9257284,True,False
99,20768,5.0,137,0.9252352,True,False
100,20941,45.0,173,0.9246124,True,False
101,21312,50.0,371,0.9232768,True,False
102,21536,50.0,224,0.9224704,True,False
103,21629,0.0,93,0.9221356,True,False
104,21811,20.0,182,0.9214804,True,False
105,21970,55.0,159,0.9209080000000001,True,False
106,22368,180.0,398,0.9194752,True,False
107,22515,10.0,147,0.918946,True,False
108,22703,30.0,188,0.9182692,True,False
109,22844,5.0,141,0.9177616,True,False
110,23021,20.0,177,0.9171244,True,False
111,23168,20.0,147,0.9165951999999999,True,False
112,23317,10.0,149,0.9160588,True,False
113,23581,30.0,264,0.9151084,True,False
114,23725,15.0,144,0.91459,True,False
