paso_global,promedio,mediana,desviacion,minimo,maximo
50000,189.0,155.0,55.35341001239219,130.0,270.0
100000,159.0,145.0,34.84250278036869,115.0,200.0
150000,242.0,245.0,69.75672010638115,150.0,360.0
200000,167.0,125.0,100.92571525632107,50.0,325.0
250000,194.0,210.0,23.108440016582687,155.0,215.0
300000,360.0,305.0,140.78352176302454,175.0,595.0
350000,372.0,325.0,183.94564414522026,215.0,725.0
400000,279.0,295.0,61.59545437773797,170.0,345.0
450000,427.0,385.0,171.83131262956704,245.0,650.0
500000,218.0,185.0,82.61961026293939,115.0,350.0
