paso_global,promedio,mediana,desviacion,minimo,maximo
550000,284.0,325.0,88.39683252243827,140.0,370.0
600000,451.0,465.0,116.8503316212667,275.0,595.0
650000,328.0,270.0,141.86613408421334,160.0,575.0
700000,399.0,410.0,108.92199043352082,265.0,550.0
750000,308.0,285.0,65.00769185258002,215.0,400.0
800000,377.0,290.0,144.41606558828556,220.0,595.0
850000,388.0,355.0,133.88801290630914,240.0,640.0
900000,526.0,450.0,219.98636321372285,285.0,915.0
950000,440.0,395.0,153.29709716755892,285.0,700.0
1000000,327.0,310.0,81.2773031048644,225.0,450.0
