episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
0,149,0.0,149,0.9994636,True,False
1,377,30.0,228,0.9986428,True,False
2,519,10.0,142,0.9981316,True,False
3,665,35.0,146,0.997606,True,False
4,824,30.0,159,0.9970336,True,False
5,1077,120.0,253,0.9961228,True,False
6,1250,30.0,173,0.9955,True,False
7,1436,15.0,186,0.9948304,True,False
8,1595,50.0,159,0.994258,True,False
9,2082,120.0,487,0.9925048,True,False
10,2264,15.0,182,0.9918496,True,False
11,2364,0.0,100,0.9914896,True,False
12,2653,110.0,289,0.9904492,True,False
13,2845,85.0,192,0.989758,True,False
14,3123,85.0,278,0.9887572,True,False
15,3555,120.0,432,0.987202,True,False
16,3719,45.0,164,0.9866116,True,False
17,3995,55.0,276,0.985618,True,False
18,4089,0.0,94,0.9852796,True,False
19,4339,65.0,250,0.9843796,True,False
20,4764,320.0,425,0.9828496,True,False
21,4916,60.0,152,0.9823024,True,False
22,5102,50.0,186,0.9816328,True,False
23,5405,290.0,303,0.980542,True,False
24,5533,5.0,128,0.9800812,True,False
25,5688,20.0,155,0.9795232,True,False
26,5840,45.0,152,0.978976,True,False
27,6014,75.0,174,0.9783496,True,False
28,6157,0.0,143,0.9778348,True,False
29,6312,30.0,155,0.9772768000000001,True,False
30,6702,165.0,390,0.9758728,True,False
31,6860,60.0,158,0.975304,True,False
32,7022,60.0,162,0.9747208,True,False
33,7163,15.0,141,0.9742132,True,False
34,7338,30.0,175,0.9735832,True,False
35,7500,45.0,162,0.973,True,False
36,7691,65.0,191,0.9723124,True,False
37,7878,65.0,187,0.9716392,True,False
38,8018,50.0,140,0.9711352,True,False
39,8233,50.0,215,0.9703612,True,False
40,8386,20.0,153,0.9698104,True,False
41,8544,45.0,158,0.9692416,True,False
42,8752,75.0,208,0.9684928,True,False
43,8907,105.0,155,0.9679348,True,False
44,8989,0.0,82,0.9676396,True,False
45,9136,35.0,147,0.9671104,True,False
46,9357,35.0,221,0.9663148,True,False
47,9546,30.0,189,0.9656344,True,False
48,9771,30.0,225,0.9648244,True,False
49,10197,125.0,426,0.9632908,True,False
50,10593,135.0,396,0.9618652,True,False
51,10760,45.0,167,0.961264,True,False
52,10938,60.0,178,0.9606232,True,False
53,11059,5.0,121,0.9601876,True,False
54,11251,75.0,192,0.9594964,True,False
55,11415,20.0,164,0.958906,True,False
56,11834,135.0,419,0.9573976,True,False
57,11985,15.0,151,0.956854,True,False
58,12198,50.0,213,0.9560872,True,False
59,12378,75.0,180,0.9554392,True,False
60,12559,10.0,181,0.9547876,True,False
61,12707,50.0,148,0.9542548,True,False
62,12855,15.0,148,0.953722,True,False
63,13005,15.0,150,0.953182,True,False
64,13232,20.0,227,0.9523648,True,False
65,13379,5.0,147,0.9518356,True,False
66,13520,50.0,141,0.951328,True,False
67,13902,110.0,382,0.9499528,True,False
68,14086,15.0,184,0.9492904,True,False
69,14186,5.0,100,0.9489304,True,False
70,14340,30.0,154,0.948376,True,False
71,14647,100.0,307,0.9472708,True,False
72,14850,55.0,203,0.94654,True,False
73,15233,105.0,383,0.9451612,True,False
74,15403,50.0,170,0.9445492,True,False
75,15792,170.0,389,0.9431488,True,False
76,16042,105.0,250,0.9422488,True,False
77,16133,0.0,91,0.9419212,True,False
78,16287,50.0,154,0.9413668,True,False
79,16438,30.0,151,0.9408232,True,False
80,16587,15.0,149,0.9402868,True,False
81,16803,60.0,216,0.9395092,True,False
82,16991,10.0,188,0.9388324,True,False
83,17148,20.0,157,0.9382672,True,False
84,17299,30.0,151,0.9377236,True,False
85,17504,50.0,205,0.9369856,True,False
86,17587,0.0,83,0.9366868,True,False
87,17969,135.0,382,0.9353116,True,False
88,18160,35.0,191,0.934624,True,False
89,18329,90.0,169,0.9340156,True,False
90,18507,105.0,178,0.9333748,True,False
91,18656,15.0,149,0.9328384,True,False
92,18931,85.0,275,0.9318484,True,False
93,19085,30.0,154,0.931294,True,False
94,19570,225.0,485,0.929548,True,False
95,19859,100.0,289,0.9285076,True,False
96,20038,35.0,179,0.9278632,True,False
97,20380,30.0,342,0.926632,True,False
98,20578,50.0,198,0.9259192,True,False
99,20938,110.0,360,0.9246232,True,False
100,21087,5.0,149,0.9240868,True,False
101,21392,155.0,305,0.9229887999999999,True,False
102,21570,30.0,178,0.922348,True,False
103,21894,45.0,324,0.9211816,True,False
104,22213,120.0,319,0.9200332,True,False
105,22438,95.0,225,0.9192232,True,False
106,22583,45.0,145,0.9187012,True,False
107,23075,155.0,492,0.91693,True,False
108,23215,15.0,140,0.916426,True,False
109,23459,135.0,244,0.9155476,True,False
110,23757,75.0,298,0.9144748,True,False
111,24085,50.0,328,0.913294,True,False
112,24284,85.0,199,0.9125776,True,False
113,24386,0.0,102,0.9122104,True,False
114,24633,50.0,247,0.9113211999999999,True,False
