paso_global,promedio,mediana,desviacion,minimo,maximo
50000,14.0,0.0,21.307275752662516,0.0,55.0
100000,102.0,110.0,28.035691537752374,50.0,135.0
150000,205.0,170.0,59.665735560705194,150.0,300.0
200000,190.0,210.0,46.151923036857305,105.0,235.0
250000,209.0,210.0,45.86937976471886,155.0,260.0
300000,277.0,290.0,45.34313619501854,210.0,330.0
350000,358.0,370.0,59.38013135721409,265.0,445.0
400000,266.0,245.0,122.40914998479485,105.0,475.0
450000,327.0,315.0,75.53806987208503,215.0,435.0
500000,215.0,245.0,92.68225288586807,50.0,310.0
