episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
0,500212,100.0,212,0.09999999999999998,True,False
1,500371,70.0,159,0.09999999999999998,True,False
2,500687,165.0,316,0.09999999999999998,True,False
3,500947,170.0,260,0.09999999999999998,True,False
4,501124,110.0,177,0.09999999999999998,True,False
5,501507,480.0,383,0.09999999999999998,True,False
6,501779,130.0,272,0.09999999999999998,True,False
7,501940,80.0,161,0.09999999999999998,True,False
8,502389,255.0,449,0.09999999999999998,True,False
9,502550,85.0,161,0.09999999999999998,True,False
10,502692,70.0,142,0.09999999999999998,True,False
11,502883,110.0,191,0.09999999999999998,True,False
12,503153,110.0,270,0.09999999999999998,True,False
13,503364,145.0,211,0.09999999999999998,True,False
14,503652,120.0,288,0.09999999999999998,True,False
15,503825,75.0,173,0.09999999999999998,True,False
16,504303,305.0,478,0.09999999999999998,True,False
17,504387,5.0,84,0.09999999999999998,True,False
18,504598,125.0,211,0.09999999999999998,True,False
19,504777,120.0,179,0.09999999999999998,True,False
20,505071,175.0,294,0.09999999999999998,True,False
21,505722,300.0,651,0.09999999999999998,True,False
22,505803,5.0,81,0.09999999999999998,True,False
23,505950,35.0,147,0.09999999999999998,True,False
24,506140,105.0,190,0.09999999999999998,True,False
25,506283,70.0,143,0.09999999999999998,True,False
26,506700,160.0,417,0.09999999999999998,True,False
27,506863,105.0,163,0.09999999999999998,True,False
28,507012,65.0,149,0.09999999999999998,True,False
29,507161,100.0,149,0.09999999999999998,True,False
30,507308,65.0,147,0.09999999999999998,True,False
31,507478,90.0,170,0.09999999999999998,True,False
32,507669,40.0,191,0.09999999999999998,True,False
33,507840,50.0,171,0.09999999999999998,True,False
34,507982,50.0,142,0.09999999999999998,True,False
35,508172,130.0,190,0.09999999999999998,True,False
36,508348,50.0,176,0.09999999999999998,True,False
37,508530,105.0,182,0.09999999999999998,True,False
38,508610,5.0,80,0.09999999999999998,True,False
39,508783,65.0,173,0.09999999999999998,True,False
40,508929,75.0,146,0.09999999999999998,True,False
41,509085,85.0,156,0.09999999999999998,True,False
42,509238,65.0,153,0.09999999999999998,True,False
43,509812,280.0,574,0.09999999999999998,True,False
44,509985,25.0,173,0.09999999999999998,True,False
45,510256,155.0,271,0.09999999999999998,True,False
46,510402,70.0,146,0.09999999999999998,True,False
47,510570,125.0,168,0.09999999999999998,True,False
48,510755,35.0,185,0.09999999999999998,True,False
49,511038,110.0,283,0.09999999999999998,True,False
50,511218,125.0,180,0.09999999999999998,True,False
51,511406,160.0,188,0.09999999999999998,True,False
52,511777,400.0,371,0.09999999999999998,True,False
53,511949,55.0,172,0.09999999999999998,True,False
54,512121,115.0,172,0.09999999999999998,True,False
55,512282,75.0,161,0.09999999999999998,True,False
56,512472,140.0,190,0.09999999999999998,True,False
57,512607,70.0,135,0.09999999999999998,True,False
58,513155,270.0,548,0.09999999999999998,True,False
59,513325,60.0,170,0.09999999999999998,True,False
60,513455,80.0,130,0.09999999999999998,True,False
61,513649,125.0,194,0.09999999999999998,True,False
62,513732,0.0,83,0.09999999999999998,True,False
63,513911,105.0,179,0.09999999999999998,True,False
64,514493,300.0,582,0.09999999999999998,True,False
65,514784,140.0,291,0.09999999999999998,True,False
66,515095,125.0,311,0.09999999999999998,True,False
67,515266,100.0,171,0.09999999999999998,True,False
68,515400,70.0,134,0.09999999999999998,True,False
69,515662,155.0,262,0.09999999999999998,True,False
70,515803,95.0,141,0.09999999999999998,True,False
71,516007,85.0,204,0.09999999999999998,True,False
72,516186,110.0,179,0.09999999999999998,True,False
73,516353,65.0,167,0.09999999999999998,True,False
74,516832,235.0,479,0.09999999999999998,True,False
75,517015,130.0,183,0.09999999999999998,True,False
76,517416,320.0,401,0.09999999999999998,True,False
77,517499,5.0,83,0.09999999999999998,True,False
78,517902,240.0,403,0.09999999999999998,True,False
79,518100,60.0,198,0.09999999999999998,True,False
80,518657,185.0,557,0.09999999999999998,True,False
81,518836,100.0,179,0.09999999999999998,True,False
82,519015,80.0,179,0.09999999999999998,True,False
83,519483,195.0,468,0.09999999999999998,True,False
84,519621,85.0,138,0.09999999999999998,True,False
85,519806,60.0,185,0.09999999999999998,True,False
86,520361,275.0,555,0.09999999999999998,True,False
87,520544,90.0,183,0.09999999999999998,True,False
88,520736,145.0,192,0.09999999999999998,True,False
89,520919,140.0,183,0.09999999999999998,True,False
90,521093,85.0,174,0.09999999999999998,True,False
91,521179,0.0,86,0.09999999999999998,True,False
92,521263,5.0,84,0.09999999999999998,True,False
93,521732,215.0,469,0.09999999999999998,True,False
94,521873,70.0,141,0.09999999999999998,True,False
95,522024,95.0,151,0.09999999999999998,True,False
96,522220,105.0,196,0.09999999999999998,True,False
97,522497,105.0,277,0.09999999999999998,True,False
98,522859,195.0,362,0.09999999999999998,True,False
99,523133,145.0,274,0.09999999999999998,True,False
100,523339,150.0,206,0.09999999999999998,True,False
101,523656,260.0,317,0.09999999999999998,True,False
102,523977,170.0,321,0.09999999999999998,True,False
103,524290,100.0,313,0.09999999999999998,True,False
104,524499,145.0,209,0.09999999999999998,True,False
105,524785,130.0,286,0.09999999999999998,True,False
106,524867,5.0,82,0.09999999999999998,True,False
107,525006,70.0,139,0.09999999999999998,True,False
108,525140,70.0,134,0.09999999999999998,True,False
