paso_global,promedio,mediana,desviacion,minimo,maximo
550000,430.0,310.0,199.67473550752484,230.0,680.0
600000,233.0,240.0,17.4928556845359,210.0,255.0
650000,324.0,305.0,115.47294055318761,130.0,445.0
700000,359.0,310.0,109.88175462741756,240.0,555.0
750000,300.0,325.0,113.04866208850063,85.0,420.0
800000,311.0,295.0,110.24518130059019,185.0,500.0
850000,387.0,395.0,66.2268827591938,285.0,470.0
900000,287.0,345.0,83.34266614405853,160.0,365.0
950000,353.0,340.0,40.69397989875161,310.0,430.0
1000000,416.0,445.0,129.12784362793332,230.0,580.0
