episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
0,149,0.0,149,0.9994636,True,False
1,377,30.0,228,0.9986428,True,False
2,519,10.0,142,0.9981316,True,False
3,665,35.0,146,0.997606,True,False
4,824,30.0,159,0.9970336,True,False
5,1077,120.0,253,0.9961228,True,False
6,1255,5.0,178,0.995482,True,False
7,1462,50.0,207,0.9947368,True,False
8,1655,5.0,193,0.994042,True,False
9,1883,25.0,228,0.9932212,True,False
10,2089,85.0,206,0.9924796,True,False
11,2272,20.0,183,0.9918208,True,False
12,2357,0.0,85,0.9915148,True,False
13,2540,35.0,183,0.990856,True,False
14,2770,65.0,230,0.990028,True,False
15,2956,35.0,186,0.9893584,True,False
16,3178,30.0,222,0.9885592,True,False
17,3264,0.0,86,0.9882496,True,False
18,3430,45.0,166,0.987652,True,False
19,3711,100.0,281,0.9866404,True,False
20,3948,30.0,237,0.9857872,True,False
21,4143,60.0,195,0.9850852,True,False
22,4518,135.0,375,0.9837352,True,False
23,4700,55.0,182,0.98308,True,False
24,4868,30.0,168,0.9824752,True,False
25,5049,65.0,181,0.9818236,True,False
26,5198,15.0,149,0.9812872,True,False
27,5331,30.0,133,0.9808084,True,False
28,5523,50.0,192,0.9801172,True,False
29,5633,0.0,110,0.9797212,True,False
30,5800,40.0,167,0.97912,True,False
31,5945,15.0,145,0.978598,True,False
32,6242,110.0,297,0.9775288,True,False
33,6532,85.0,290,0.9764848,True,False
34,6784,35.0,252,0.9755776,True,False
35,6947,25.0,163,0.9749908,True,False
36,7057,15.0,110,0.9745948,True,False
37,7205,15.0,148,0.974062,True,False
38,7548,310.0,343,0.9728272,True,False
39,7743,105.0,195,0.9721252,True,False
40,8017,90.0,274,0.9711388,True,False
41,8169,50.0,152,0.9705916,True,False
42,8340,60.0,171,0.969976,True,False
43,8481,20.0,141,0.9694684,True,False
44,8679,35.0,198,0.9687556,True,False
45,8835,50.0,156,0.968194,True,False
46,9331,210.0,496,0.9664084,True,False
47,9536,75.0,205,0.9656704,True,False
48,9621,5.0,85,0.9653644,True,False
49,9772,105.0,151,0.9648208,True,False
50,10001,50.0,229,0.9639964,True,False
51,10515,410.0,514,0.962146,True,False
52,10665,5.0,150,0.961606,True,False
53,10978,80.0,313,0.9604792,True,False
54,11182,60.0,204,0.9597448,True,False
55,11398,50.0,216,0.9589672,True,False
56,11845,150.0,447,0.957358,True,False
57,12027,30.0,182,0.9567028,True,False
58,12178,35.0,151,0.9561592,True,False
59,12372,75.0,194,0.9554608,True,False
60,12521,30.0,149,0.9549244,True,False
61,12668,5.0,147,0.9543952,True,False
62,12884,50.0,216,0.9536176,True,False
63,13102,55.0,218,0.9528328,True,False
64,13267,30.0,165,0.9522388,True,False
65,13461,40.0,194,0.9515404,True,False
66,13628,15.0,167,0.9509392,True,False
67,13776,35.0,148,0.9504064,True,False
68,13977,90.0,201,0.9496828,True,False
69,14213,70.0,236,0.9488332,True,False
70,14361,5.0,148,0.9483004,True,False
71,14543,55.0,182,0.9476452,True,False
72,14761,105.0,218,0.9468604,True,False
73,14873,0.0,112,0.9464572,True,False
74,15037,35.0,164,0.9458668,True,False
75,15210,30.0,173,0.945244,True,False
76,15361,50.0,151,0.9447004,True,False
77,15506,30.0,145,0.9441784,True,False
78,15664,35.0,158,0.9436096,True,False
79,15823,15.0,159,0.9430372,True,False
80,15975,30.0,152,0.94249,True,False
81,16132,40.0,157,0.9419248,True,False
82,16270,30.0,138,0.941428,True,False
83,16412,25.0,142,0.9409168,True,False
84,16637,30.0,225,0.9401068,True,False
85,16748,5.0,111,0.9397072,True,False
86,17097,105.0,349,0.9384508,True,False
87,17274,75.0,177,0.9378136,True,False
88,17426,35.0,152,0.9372663999999999,True,False
89,17626,20.0,200,0.9365464,True,False
90,17711,5.0,85,0.9362404,True,False
91,17805,0.0,94,0.935902,True,False
92,17953,5.0,148,0.9353692,True,False
93,18103,0.0,150,0.9348292,True,False
94,18255,30.0,152,0.9342820000000001,True,False
95,18445,20.0,190,0.933598,True,False
96,18595,35.0,150,0.9330579999999999,True,False
97,18903,135.0,308,0.9319492,True,False
98,19044,5.0,141,0.9314416,True,False
99,19180,0.0,136,0.930952,True,False
100,19490,30.0,310,0.929836,True,False
101,19646,30.0,156,0.9292744,True,False
102,19813,65.0,167,0.9286732,True,False
103,19989,15.0,176,0.9280396,True,False
104,20176,110.0,187,0.9273664,True,False
105,20340,30.0,164,0.926776,True,False
106,20502,30.0,162,0.9261928,True,False
107,20648,15.0,146,0.9256672,True,False
108,20812,30.0,164,0.9250768,True,False
109,20960,5.0,148,0.924544,True,False
110,21144,20.0,184,0.9238816,True,False
111,21420,25.0,276,0.9228879999999999,True,False
112,21608,80.0,188,0.9222112,True,False
113,21864,65.0,256,0.9212895999999999,True,False
114,21955,0.0,91,0.9209620000000001,True,False
