paso_global,promedio,mediana,desviacion,minimo,maximo
50000,110.0,135.0,37.54996671103717,45.0,140.0
100000,159.0,160.0,78.2559901860554,30.0,270.0
150000,164.0,155.0,41.27953488110059,110.0,225.0
200000,159.0,165.0,44.654227123532216,85.0,215.0
250000,229.0,155.0,132.15142829345433,125.0,485.0
300000,384.0,350.0,116.76472069936193,245.0,595.0
350000,386.0,380.0,164.51139778143033,155.0,665.0
400000,242.0,215.0,88.91569040388767,145.0,410.0
450000,406.0,400.0,103.50845376103345,240.0,565.0
500000,295.0,295.0,74.36396977031282,205.0,390.0
