paso_global,promedio,mediana,desviacion,minimo,maximo
550000,377.0,360.0,145.14131045295133,165.0,545.0
600000,360.0,330.0,67.89698078707183,275.0,470.0
650000,366.0,380.0,97.74456506629922,190.0,485.0
700000,306.0,325.0,101.95096860746347,195.0,470.0
750000,315.0,260.0,160.49922118191103,130.0,580.0
800000,389.0,365.0,113.46365056704283,285.0,605.0
850000,435.0,455.0,44.384682042344295,370.0,480.0
900000,324.0,305.0,138.57849761056005,165.0,580.0
950000,326.0,260.0,117.57550765359255,210.0,540.0
1000000,287.0,280.0,106.18851161966627,180.0,480.0
