paso_global,loss,q_promedio,target_promedio,error_td_promedio,beta_per,peso_importancia_promedio,epsilon,tamano_buffer,tiempo_segundos
10000,0.03275282308459282,0.00494582112878561,0.11162616312503815,0.10692199319601059,0.41200000000000003,1.0,0.964,10000,5.994701147079468
10000,0.03275282308459282,0.00494582112878561,0.11162616312503815,0.10692199319601059,0.41200000000000003,1.0,0.964,10000,5.864325046539307
11000,0.005071220453828573,0.11058752238750458,0.10120055079460144,0.06714300066232681,0.4132,0.4173385500907898,0.9604,11000,9.486111879348755
12000,0.043987616896629333,0.11676255613565445,0.3509519696235657,0.29516905546188354,0.41440000000000005,0.533474326133728,0.9568,12000,12.84511399269104
13000,0.030252186581492424,0.1587437093257904,0.31927764415740967,0.30039605498313904,0.4156,0.4483097493648529,0.9532,13000,16.01913094520569
14000,0.008727586828172207,0.1360994279384613,0.13007645308971405,0.12154286354780197,0.4168,0.5364526510238647,0.9496,14000,19.094635009765625
15000,0.012555049732327461,0.14367583394050598,0.16165077686309814,0.15821599960327148,0.41800000000000004,0.5058742165565491,0.946,15000,22.08698296546936
16000,0.023718520998954773,0.10551529377698898,0.22593775391578674,0.18161261081695557,0.4192,0.5846588015556335,0.9424,16000,25.061156749725342
17000,0.001029297010973096,0.1132243424654007,0.06978253275156021,0.05068247392773628,0.4204,0.611570417881012,0.9388,17000,28.104849815368652
18000,0.011445779353380203,0.10635515302419662,0.19235125184059143,0.15958881378173828,0.42160000000000003,0.3779570758342743,0.9352,18000,31.14853811264038
19000,0.003517144825309515,0.13211770355701447,0.1012217327952385,0.0964943915605545,0.4228,0.356707900762558,0.9316,19000,34.30461382865906
20000,0.009162360802292824,0.16651377081871033,0.13196022808551788,0.138248473405838,0.42400000000000004,0.4882562756538391,0.9279999999999999,20000,37.45554995536804
21000,0.016674667596817017,0.30588221549987793,0.37947410345077515,0.23287421464920044,0.4252,0.39155182242393494,0.9244,20000,40.640209913253784
22000,0.02096828818321228,0.20599737763404846,0.3426384925842285,0.2090228945016861,0.4264,0.46602052450180054,0.9208000000000001,20000,43.75192904472351
23000,0.010960647836327553,0.17235536873340607,0.22481748461723328,0.10054443031549454,0.42760000000000004,0.6820967197418213,0.9172,20000,46.87660098075867
24000,0.02054685726761818,0.2446613907814026,0.3197767734527588,0.2081833779811859,0.4288,0.5587731599807739,0.9136,20000,50.315025806427
25000,0.006404750514775515,0.2860099673271179,0.25229036808013916,0.1277015507221222,0.43000000000000005,0.4788604974746704,0.91,20000,53.37483191490173
26000,0.011943379417061806,0.24975818395614624,0.2800314426422119,0.1526792049407959,0.4312,0.5483062267303467,0.9064,20000,56.77868580818176
27000,0.004133324138820171,0.21774889528751373,0.21151159703731537,0.08303656429052353,0.4324,0.5269914865493774,0.9028,20000,60.190361976623535
28000,0.0086979353800416,0.2449430525302887,0.214791402220726,0.145137220621109,0.43360000000000004,0.4811706840991974,0.8992,20000,63.58080577850342
29000,0.011987675912678242,0.23974573612213135,0.3125752806663513,0.15663975477218628,0.4348,0.47115570306777954,0.8956,20000,66.8527250289917
30000,0.0008769286214374006,0.17298024892807007,0.16500669717788696,0.054921962320804596,0.436,0.3633050322532654,0.892,20000,70.0548529624939
31000,0.010048536583781242,0.33499079942703247,0.34542080760002136,0.15547853708267212,0.43720000000000003,0.46925193071365356,0.8884,20000,73.15437316894531
32000,0.004659587983042002,0.22302615642547607,0.20743122696876526,0.09040342271327972,0.4384,0.5067175626754761,0.8848,20000,76.3508780002594
33000,0.010683717206120491,0.30732089281082153,0.33717846870422363,0.13659562170505524,0.43960000000000005,0.5996295213699341,0.8812,20000,79.52208995819092
34000,0.008282139897346497,0.2183641493320465,0.2606021463871002,0.11765216290950775,0.4408,0.545168399810791,0.8775999999999999,20000,82.70583987236023
35000,0.0065801190212368965,0.2843085825443268,0.28093037009239197,0.11510950326919556,0.442,0.5480717420578003,0.874,20000,85.89295411109924
36000,0.009934918023645878,0.23389309644699097,0.31514185667037964,0.1267891228199005,0.44320000000000004,0.5409725308418274,0.8704000000000001,20000,89.21623802185059
37000,0.01470633689314127,0.3362083435058594,0.3824315071105957,0.17017590999603271,0.4444,0.5658037066459656,0.8668,20000,92.65173888206482
38000,0.004759814590215683,0.23171809315681458,0.2773752510547638,0.10774923861026764,0.4456,0.45791488885879517,0.8632,20000,96.17529797554016
39000,0.0036574057303369045,0.22782498598098755,0.24215199053287506,0.07488169521093369,0.44680000000000003,0.5826175212860107,0.8596,20000,99.5939679145813
40000,0.004338715225458145,0.20935821533203125,0.2362714260816574,0.09170351922512054,0.448,0.46497806906700134,0.856,20000,103.22626495361328
41000,0.012507691979408264,0.3222486972808838,0.3883509635925293,0.17145207524299622,0.44920000000000004,0.48169761896133423,0.8524,20000,106.5191080570221
42000,0.003945717588067055,0.2632881999015808,0.2900506854057312,0.10474102199077606,0.4504,0.3592465817928314,0.8488,20000,110.05131602287292
43000,0.007996556349098682,0.18943312764167786,0.22037366032600403,0.11111664772033691,0.4516,0.6306192874908447,0.8452,20000,113.47300291061401
44000,0.011038072407245636,0.2544359862804413,0.30431729555130005,0.14104200899600983,0.45280000000000004,0.5586422681808472,0.8416,20000,117.0888819694519
45000,0.0061063822358846664,0.2659718990325928,0.2703237533569336,0.10703906416893005,0.454,0.5781368613243103,0.838,20000,120.5664849281311
46000,0.007921888493001461,0.2347862273454666,0.29901647567749023,0.12054125219583511,0.45520000000000005,0.5274991393089294,0.8344,20000,124.1648120880127
47000,0.00809493102133274,0.3551543354988098,0.5001910924911499,0.1811414510011673,0.45640000000000003,0.3269740343093872,0.8308,20000,127.64348888397217
48000,0.003496563760563731,0.3091842532157898,0.2659182548522949,0.10371352732181549,0.4576,0.47649621963500977,0.8271999999999999,20000,131.10934710502625
49000,0.010417650453746319,0.35619547963142395,0.3841588795185089,0.1499558538198471,0.45880000000000004,0.5156246423721313,0.8236,20000,134.43777799606323
50000,0.009723498485982418,0.24670284986495972,0.29437512159347534,0.11613830924034119,0.46,0.6236340999603271,0.82,20000,138.3223900794983
51000,0.012144709005951881,0.3967304229736328,0.4403664469718933,0.17213734984397888,0.4612,0.5687601566314697,0.8164,20000,146.26316690444946
52000,0.007750038988888264,0.3885897994041443,0.45426228642463684,0.1321503221988678,0.46240000000000003,0.40471187233924866,0.8128,20000,149.70791506767273
53000,0.013348188251256943,0.3134244382381439,0.4164820909500122,0.17069363594055176,0.4636,0.5342741012573242,0.8092,20000,153.12430095672607
54000,0.00634261267259717,0.3182411789894104,0.32093149423599243,0.14273278415203094,0.4648,0.370006799697876,0.8056,20000,156.52356600761414
55000,0.01165233924984932,0.3863447904586792,0.4515302777290344,0.19531285762786865,0.466,0.37509360909461975,0.802,20000,159.87036991119385
56000,0.005735720042139292,0.3121720552444458,0.37041813135147095,0.1251644641160965,0.4672,0.3701171875,0.7984,20000,163.17879390716553
57000,0.011030711233615875,0.31967294216156006,0.37422478199005127,0.1890682876110077,0.46840000000000004,0.3557017743587494,0.7948,20000,166.50338673591614
58000,0.008400301449000835,0.3453187346458435,0.35050255060195923,0.1323423683643341,0.4696,0.5184354782104492,0.7912,20000,169.9459309577942
59000,0.002950521418824792,0.26713496446609497,0.21709120273590088,0.0787748396396637,0.4708,0.575042724609375,0.7876,20000,173.6226909160614
60000,0.0032220862340182066,0.3065449595451355,0.3021051287651062,0.12988051772117615,0.47200000000000003,0.2181127965450287,0.784,20000,177.1908140182495
61000,0.011187163181602955,0.4928934872150421,0.5972310304641724,0.19032064080238342,0.4732,0.4409443140029907,0.7804,20000,180.82556200027466
