episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
0,149,0.0,149,0.9994636,True,False
1,377,30.0,228,0.9986428,True,False
2,519,10.0,142,0.9981316,True,False
3,665,35.0,146,0.997606,True,False
4,824,30.0,159,0.9970336,True,False
5,1077,120.0,253,0.9961228,True,False
6,1250,30.0,173,0.9955,True,False
7,1436,15.0,186,0.9948304,True,False
8,1595,50.0,159,0.994258,True,False
9,2082,120.0,487,0.9925048,True,False
10,2264,15.0,182,0.9918496,True,False
11,2364,0.0,100,0.9914896,True,False
12,2653,110.0,289,0.9904492,True,False
13,2845,85.0,192,0.989758,True,False
14,3123,85.0,278,0.9887572,True,False
15,3555,120.0,432,0.987202,True,False
16,3719,45.0,164,0.9866116,True,False
17,3995,55.0,276,0.985618,True,False
18,4089,0.0,94,0.9852796,True,False
19,4339,65.0,250,0.9843796,True,False
20,4764,320.0,425,0.9828496,True,False
21,4916,60.0,152,0.9823024,True,False
22,5102,50.0,186,0.9816328,True,False
23,5405,290.0,303,0.980542,True,False
24,5533,5.0,128,0.9800812,True,False
25,5688,20.0,155,0.9795232,True,False
26,5840,45.0,152,0.978976,True,False
27,6014,75.0,174,0.9783496,True,False
28,6157,0.0,143,0.9778348,True,False
29,6312,30.0,155,0.9772768000000001,True,False
30,6702,165.0,390,0.9758728,True,False
31,6860,60.0,158,0.975304,True,False
32,7022,60.0,162,0.9747208,True,False
33,7163,15.0,141,0.9742132,True,False
34,7338,30.0,175,0.9735832,True,False
35,7500,45.0,162,0.973,True,False
36,7691,65.0,191,0.9723124,True,False
37,7878,65.0,187,0.9716392,True,False
38,8018,50.0,140,0.9711352,True,False
39,8233,50.0,215,0.9703612,True,False
40,8386,20.0,153,0.9698104,True,False
41,8544,45.0,158,0.9692416,True,False
42,8752,75.0,208,0.9684928,True,False
43,8907,105.0,155,0.9679348,True,False
44,8989,0.0,82,0.9676396,True,False
45,9136,35.0,147,0.9671104,True,False
46,9357,35.0,221,0.9663148,True,False
47,9546,30.0,189,0.9656344,True,False
48,9771,30.0,225,0.9648244,True,False
49,10197,125.0,426,0.9632908,True,False
50,10582,110.0,385,0.9619048,True,False
51,10754,35.0,172,0.9612856,True,False
0,149,0.0,149,0.9994636,True,False
1,377,30.0,228,0.9986428,True,False
2,519,10.0,142,0.9981316,True,False
3,665,35.0,146,0.997606,True,False
4,824,30.0,159,0.9970336,True,False
5,1077,120.0,253,0.9961228,True,False
6,1250,30.0,173,0.9955,True,False
7,1436,15.0,186,0.9948304,True,False
8,1595,50.0,159,0.994258,True,False
9,2082,120.0,487,0.9925048,True,False
10,2264,15.0,182,0.9918496,True,False
11,2364,0.0,100,0.9914896,True,False
12,2653,110.0,289,0.9904492,True,False
13,2845,85.0,192,0.989758,True,False
14,3123,85.0,278,0.9887572,True,False
15,3555,120.0,432,0.987202,True,False
16,3719,45.0,164,0.9866116,True,False
17,3995,55.0,276,0.985618,True,False
18,4089,0.0,94,0.9852796,True,False
19,4339,65.0,250,0.9843796,True,False
20,4764,320.0,425,0.9828496,True,False
21,4916,60.0,152,0.9823024,True,False
22,5102,50.0,186,0.9816328,True,False
23,5405,290.0,303,0.980542,True,False
24,5533,5.0,128,0.9800812,True,False
25,5688,20.0,155,0.9795232,True,False
26,5840,45.0,152,0.978976,True,False
27,6014,75.0,174,0.9783496,True,False
28,6157,0.0,143,0.9778348,True,False
29,6312,30.0,155,0.9772768000000001,True,False
30,6702,165.0,390,0.9758728,True,False
31,6860,60.0,158,0.975304,True,False
32,7022,60.0,162,0.9747208,True,False
33,7163,15.0,141,0.9742132,True,False
34,7338,30.0,175,0.9735832,True,False
35,7500,45.0,162,0.973,True,False
36,7691,65.0,191,0.9723124,True,False
37,7878,65.0,187,0.9716392,True,False
38,8018,50.0,140,0.9711352,True,False
39,8233,50.0,215,0.9703612,True,False
40,8386,20.0,153,0.9698104,True,False
41,8544,45.0,158,0.9692416,True,False
42,8752,75.0,208,0.9684928,True,False
43,8907,105.0,155,0.9679348,True,False
44,8989,0.0,82,0.9676396,True,False
45,9136,35.0,147,0.9671104,True,False
46,9357,35.0,221,0.9663148,True,False
47,9546,30.0,189,0.9656344,True,False
48,9771,30.0,225,0.9648244,True,False
49,10197,125.0,426,0.9632908,True,False
50,10582,110.0,385,0.9619048,True,False
51,10754,35.0,172,0.9612856,True,False
52,11112,160.0,358,0.9599968,True,False
53,11338,35.0,226,0.9591832,True,False
54,11424,5.0,86,0.9588736,True,False
55,11630,50.0,206,0.958132,True,False
56,11789,55.0,159,0.9575596,True,False
57,11939,30.0,150,0.9570196,True,False
58,12231,75.0,292,0.9559683999999999,True,False
59,12372,35.0,141,0.9554608,True,False
60,12532,35.0,160,0.9548848,True,False
61,12689,15.0,157,0.9543196,True,False
62,12862,30.0,173,0.9536968,True,False
63,13074,80.0,212,0.9529336,True,False
