paso_global,promedio,mediana,desviacion,minimo,maximo
50000,121.0,60.0,130.01538370516005,40.0,380.0
100000,142.0,100.0,119.02100654926423,55.0,375.0
150000,160.0,155.0,30.659419433511783,120.0,215.0
200000,282.0,215.0,135.88966112254457,130.0,480.0
250000,250.0,270.0,84.61678320522472,140.0,370.0
300000,295.0,325.0,71.76350047203663,210.0,395.0
350000,334.0,270.0,120.76423311560423,240.0,570.0
400000,302.0,215.0,139.98571355677691,155.0,525.0
450000,329.0,335.0,48.92851929090027,245.0,395.0
500000,320.0,300.0,138.4196517839862,120.0,550.0
550000,249.0,285.0,93.93614852653903,115.0,365.0
600000,320.0,335.0,82.21921916437786,210.0,455.0
650000,242.0,195.0,158.79546593023366,60.0,495.0
700000,344.0,405.0,138.68669727122352,170.0,515.0
750000,330.0,355.0,44.04543109109048,265.0,375.0
800000,275.0,275.0,87.57853618324526,145.0,420.0
850000,289.0,300.0,136.46977687385584,100.0,495.0
900000,158.0,140.0,87.21238444166057,40.0,305.0
950000,318.0,260.0,173.28012003689287,170.0,640.0
1000000,217.0,265.0,100.67770358922576,65.0,335.0
