episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
0,2000413,360.0,413,0.09999999999999998,True,False
1,2000845,300.0,432,0.09999999999999998,True,False
2,2001017,150.0,172,0.09999999999999998,True,False
3,2001579,315.0,562,0.09999999999999998,True,False
4,2002117,340.0,538,0.09999999999999998,True,False
5,2002587,395.0,470,0.09999999999999998,True,False
6,2002958,275.0,371,0.09999999999999998,True,False
7,2003364,565.0,406,0.09999999999999998,True,False
8,2003715,475.0,351,0.09999999999999998,True,False
9,2004044,200.0,329,0.09999999999999998,True,False
10,2004400,230.0,356,0.09999999999999998,True,False
11,2004805,295.0,405,0.09999999999999998,True,False
12,2005342,405.0,537,0.09999999999999998,True,False
13,2005919,415.0,577,0.09999999999999998,True,False
14,2006322,445.0,403,0.09999999999999998,True,False
15,2006787,380.0,465,0.09999999999999998,True,False
16,2007228,320.0,441,0.09999999999999998,True,False
17,2007772,360.0,544,0.09999999999999998,True,False
18,2008354,450.0,582,0.09999999999999998,True,False
19,2009039,345.0,685,0.09999999999999998,True,False
20,2009349,135.0,310,0.09999999999999998,True,False
21,2009684,285.0,335,0.09999999999999998,True,False
22,2010163,330.0,479,0.09999999999999998,True,False
23,2010297,55.0,134,0.09999999999999998,True,False
24,2010698,305.0,401,0.09999999999999998,True,False
25,2011365,495.0,667,0.09999999999999998,True,False
26,2011543,35.0,178,0.09999999999999998,True,False
27,2012040,195.0,497,0.09999999999999998,True,False
28,2012530,380.0,490,0.09999999999999998,True,False
29,2012867,255.0,337,0.09999999999999998,True,False
30,2013402,375.0,535,0.09999999999999998,True,False
31,2014042,430.0,640,0.09999999999999998,True,False
32,2014328,200.0,286,0.09999999999999998,True,False
33,2014683,490.0,355,0.09999999999999998,True,False
34,2015096,270.0,413,0.09999999999999998,True,False
35,2015675,320.0,579,0.09999999999999998,True,False
36,2016032,150.0,357,0.09999999999999998,True,False
37,2016432,300.0,400,0.09999999999999998,True,False
38,2016802,490.0,370,0.09999999999999998,True,False
39,2017104,295.0,302,0.09999999999999998,True,False
40,2017457,480.0,353,0.09999999999999998,True,False
41,2017948,420.0,491,0.09999999999999998,True,False
42,2018766,800.0,818,0.09999999999999998,True,False
43,2018957,125.0,191,0.09999999999999998,True,False
44,2019237,255.0,280,0.09999999999999998,True,False
45,2019685,310.0,448,0.09999999999999998,True,False
46,2020192,465.0,507,0.09999999999999998,True,False
47,2020663,390.0,471,0.09999999999999998,True,False
48,2020755,5.0,92,0.09999999999999998,True,False
49,2021126,240.0,371,0.09999999999999998,True,False
50,2021629,290.0,503,0.09999999999999998,True,False
51,2021989,310.0,360,0.09999999999999998,True,False
52,2022293,265.0,304,0.09999999999999998,True,False
53,2022799,335.0,506,0.09999999999999998,True,False
54,2023443,365.0,644,0.09999999999999998,True,False
55,2023745,280.0,302,0.09999999999999998,True,False
56,2024039,260.0,294,0.09999999999999998,True,False
57,2024337,240.0,298,0.09999999999999998,True,False
58,2024544,180.0,207,0.09999999999999998,True,False
59,2025121,395.0,577,0.09999999999999998,True,False
60,2025411,270.0,290,0.09999999999999998,True,False
61,2025613,110.0,202,0.09999999999999998,True,False
62,2026152,420.0,539,0.09999999999999998,True,False
63,2026694,360.0,542,0.09999999999999998,True,False
64,2027007,235.0,313,0.09999999999999998,True,False
65,2027304,240.0,297,0.09999999999999998,True,False
66,2027588,230.0,284,0.09999999999999998,True,False
67,2028286,450.0,698,0.09999999999999998,True,False
68,2028826,460.0,540,0.09999999999999998,True,False
69,2029260,370.0,434,0.09999999999999998,True,False
70,2029605,235.0,345,0.09999999999999998,True,False
71,2029945,275.0,340,0.09999999999999998,True,False
72,2030283,305.0,338,0.09999999999999998,True,False
73,2030840,365.0,557,0.09999999999999998,True,False
74,2031163,245.0,323,0.09999999999999998,True,False
75,2031726,325.0,563,0.09999999999999998,True,False
76,2032043,255.0,317,0.09999999999999998,True,False
77,2032345,245.0,302,0.09999999999999998,True,False
78,2032687,460.0,342,0.09999999999999998,True,False
79,2033084,310.0,397,0.09999999999999998,True,False
80,2033464,235.0,380,0.09999999999999998,True,False
81,2033643,105.0,179,0.09999999999999998,True,False
82,2034044,225.0,401,0.09999999999999998,True,False
83,2034196,75.0,152,0.09999999999999998,True,False
84,2034689,605.0,493,0.09999999999999998,True,False
85,2035012,225.0,323,0.09999999999999998,True,False
86,2035151,65.0,139,0.09999999999999998,True,False
87,2035714,355.0,563,0.09999999999999998,True,False
88,2036193,435.0,479,0.09999999999999998,True,False
89,2036759,415.0,566,0.09999999999999998,True,False
90,2037128,225.0,369,0.09999999999999998,True,False
91,2037769,385.0,641,0.09999999999999998,True,False
92,2038391,435.0,622,0.09999999999999998,True,False
93,2038715,255.0,324,0.09999999999999998,True,False
94,2039028,235.0,313,0.09999999999999998,True,False
95,2039344,250.0,316,0.09999999999999998,True,False
96,2039890,585.0,546,0.09999999999999998,True,False
97,2040714,700.0,824,0.09999999999999998,True,False
98,2041103,240.0,389,0.09999999999999998,True,False
99,2041431,315.0,328,0.09999999999999998,True,False
100,2041968,345.0,537,0.09999999999999998,True,False
101,2042486,430.0,518,0.09999999999999998,True,False
102,2042651,65.0,165,0.09999999999999998,True,False
103,2043109,365.0,458,0.09999999999999998,True,False
104,2043781,515.0,672,0.09999999999999998,True,False
105,2044072,260.0,291,0.09999999999999998,True,False
106,2044242,100.0,170,0.09999999999999998,True,False
107,2044414,125.0,172,0.09999999999999998,True,False
108,2044748,500.0,334,0.09999999999999998,True,False
109,2045061,185.0,313,0.09999999999999998,True,False
110,2045361,240.0,300,0.09999999999999998,True,False
111,2045943,335.0,582,0.09999999999999998,True,False
112,2046195,170.0,252,0.09999999999999998,True,False
113,2046826,540.0,631,0.09999999999999998,True,False
114,2047570,460.0,744,0.09999999999999998,True,False
115,2048047,315.0,477,0.09999999999999998,True,False
116,2048584,270.0,537,0.09999999999999998,True,False
117,2049030,315.0,446,0.09999999999999998,True,False
118,2049351,240.0,321,0.09999999999999998,True,False
119,2049707,205.0,356,0.09999999999999998,True,False
120,2050040,310.0,333,0.09999999999999998,True,False
121,2050453,295.0,413,0.09999999999999998,True,False
122,2050742,290.0,289,0.09999999999999998,True,False
123,2051095,295.0,353,0.09999999999999998,True,False
124,2051476,280.0,381,0.09999999999999998,True,False
125,2052150,485.0,674,0.09999999999999998,True,False
126,2052478,200.0,328,0.09999999999999998,True,False
127,2052956,330.0,478,0.09999999999999998,True,False
128,2053361,300.0,405,0.09999999999999998,True,False
129,2053562,125.0,201,0.09999999999999998,True,False
130,2053731,125.0,169,0.09999999999999998,True,False
131,2054195,315.0,464,0.09999999999999998,True,False
132,2054798,435.0,603,0.09999999999999998,True,False
133,2055342,350.0,544,0.09999999999999998,True,False
134,2055733,295.0,391,0.09999999999999998,True,False
135,2056365,395.0,632,0.09999999999999998,True,False
136,2056784,220.0,419,0.09999999999999998,True,False
137,2057083,245.0,299,0.09999999999999998,True,False
138,2057267,125.0,184,0.09999999999999998,True,False
139,2057726,365.0,459,0.09999999999999998,True,False
140,2058042,295.0,316,0.09999999999999998,True,False
141,2058368,365.0,326,0.09999999999999998,True,False
142,2058663,275.0,295,0.09999999999999998,True,False
143,2058992,285.0,329,0.09999999999999998,True,False
144,2059086,15.0,94,0.09999999999999998,True,False
145,2059703,670.0,617,0.09999999999999998,True,False
146,2060271,255.0,568,0.09999999999999998,True,False
147,2060688,300.0,417,0.09999999999999998,True,False
148,2061217,610.0,529,0.09999999999999998,True,False
149,2061780,375.0,563,0.09999999999999998,True,False
150,2062445,570.0,665,0.09999999999999998,True,False
151,2062708,130.0,263,0.09999999999999998,True,False
152,2063043,275.0,335,0.09999999999999998,True,False
153,2063573,285.0,530,0.09999999999999998,True,False
154,2064087,465.0,514,0.09999999999999998,True,False
155,2064357,225.0,270,0.09999999999999998,True,False
156,2064666,155.0,309,0.09999999999999998,True,False
157,2064972,260.0,306,0.09999999999999998,True,False
158,2065375,525.0,403,0.09999999999999998,True,False
159,2065885,460.0,510,0.09999999999999998,True,False
160,2066209,235.0,324,0.09999999999999998,True,False
161,2066652,400.0,443,0.09999999999999998,True,False
162,2066932,240.0,280,0.09999999999999998,True,False
163,2067310,325.0,378,0.09999999999999998,True,False
164,2067640,450.0,330,0.09999999999999998,True,False
165,2067999,275.0,359,0.09999999999999998,True,False
166,2068336,275.0,337,0.09999999999999998,True,False
167,2068667,275.0,331,0.09999999999999998,True,False
168,2069423,435.0,756,0.09999999999999998,True,False
169,2069764,300.0,341,0.09999999999999998,True,False
170,2070160,205.0,396,0.09999999999999998,True,False
171,2070335,125.0,175,0.09999999999999998,True,False
172,2070671,225.0,336,0.09999999999999998,True,False
173,2071001,255.0,330,0.09999999999999998,True,False
174,2071202,155.0,201,0.09999999999999998,True,False
175,2071403,125.0,201,0.09999999999999998,True,False
176,2072222,460.0,819,0.09999999999999998,True,False
177,2072703,455.0,481,0.09999999999999998,True,False
178,2073219,355.0,516,0.09999999999999998,True,False
179,2073563,290.0,344,0.09999999999999998,True,False
180,2073887,230.0,324,0.09999999999999998,True,False
181,2074279,280.0,392,0.09999999999999998,True,False
182,2074497,150.0,218,0.09999999999999998,True,False
183,2074785,255.0,288,0.09999999999999998,True,False
184,2075196,410.0,411,0.09999999999999998,True,False
185,2075792,345.0,596,0.09999999999999998,True,False
186,2076315,420.0,523,0.09999999999999998,True,False
187,2076640,485.0,325,0.09999999999999998,True,False
188,2077112,230.0,472,0.09999999999999998,True,False
189,2077399,285.0,287,0.09999999999999998,True,False
190,2077696,260.0,297,0.09999999999999998,True,False
191,2078310,345.0,614,0.09999999999999998,True,False
192,2078856,390.0,546,0.09999999999999998,True,False
193,2079378,340.0,522,0.09999999999999998,True,False
194,2079704,255.0,326,0.09999999999999998,True,False
195,2080034,260.0,330,0.09999999999999998,True,False
196,2080509,215.0,475,0.09999999999999998,True,False
197,2080852,305.0,343,0.09999999999999998,True,False
198,2081498,605.0,646,0.09999999999999998,True,False
199,2081919,280.0,421,0.09999999999999998,True,False
200,2082324,205.0,405,0.09999999999999998,True,False
201,2082476,80.0,152,0.09999999999999998,True,False
202,2083021,615.0,545,0.09999999999999998,True,False
203,2083227,150.0,206,0.09999999999999998,True,False
204,2083760,455.0,533,0.09999999999999998,True,False
205,2084100,235.0,340,0.09999999999999998,True,False
206,2084396,180.0,296,0.09999999999999998,True,False
207,2084718,255.0,322,0.09999999999999998,True,False
208,2084912,100.0,194,0.09999999999999998,True,False
209,2085111,105.0,199,0.09999999999999998,True,False
210,2085446,220.0,335,0.09999999999999998,True,False
211,2085645,130.0,199,0.09999999999999998,True,False
212,2086177,665.0,532,0.09999999999999998,True,False
213,2086322,105.0,145,0.09999999999999998,True,False
214,2086969,410.0,647,0.09999999999999998,True,False
215,2087334,520.0,365,0.09999999999999998,True,False
216,2088116,585.0,782,0.09999999999999998,True,False
217,2088532,325.0,416,0.09999999999999998,True,False
218,2089021,410.0,489,0.09999999999999998,True,False
219,2089470,505.0,449,0.09999999999999998,True,False
220,2089816,275.0,346,0.09999999999999998,True,False
221,2089956,90.0,140,0.09999999999999998,True,False
222,2090445,640.0,489,0.09999999999999998,True,False
223,2091145,445.0,700,0.09999999999999998,True,False
224,2091517,300.0,372,0.09999999999999998,True,False
225,2091788,230.0,271,0.09999999999999998,True,False
226,2092181,375.0,393,0.09999999999999998,True,False
227,2092584,320.0,403,0.09999999999999998,True,False
228,2092778,110.0,194,0.09999999999999998,True,False
229,2093315,435.0,537,0.09999999999999998,True,False
230,2093874,375.0,559,0.09999999999999998,True,False
231,2094169,235.0,295,0.09999999999999998,True,False
232,2094476,245.0,307,0.09999999999999998,True,False
233,2095231,455.0,755,0.09999999999999998,True,False
234,2095566,250.0,335,0.09999999999999998,True,False
235,2096258,455.0,692,0.09999999999999998,True,False
