episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
0,700368,255.0,368,0.09999999999999998,True,False
1,700876,315.0,508,0.09999999999999998,True,False
2,701379,445.0,503,0.09999999999999998,True,False
3,701644,150.0,265,0.09999999999999998,True,False
4,701851,155.0,207,0.09999999999999998,True,False
5,702471,310.0,620,0.09999999999999998,True,False
6,702813,280.0,342,0.09999999999999998,True,False
7,703005,105.0,192,0.09999999999999998,True,False
8,703168,110.0,163,0.09999999999999998,True,False
9,703521,235.0,353,0.09999999999999998,True,False
10,704157,655.0,636,0.09999999999999998,True,False
11,704816,630.0,659,0.09999999999999998,True,False
12,705145,325.0,329,0.09999999999999998,True,False
13,705312,80.0,167,0.09999999999999998,True,False
14,705480,105.0,168,0.09999999999999998,True,False
15,705809,305.0,329,0.09999999999999998,True,False
16,706258,405.0,449,0.09999999999999998,True,False
17,706516,145.0,258,0.09999999999999998,True,False
18,706705,150.0,189,0.09999999999999998,True,False
19,707010,245.0,305,0.09999999999999998,True,False
20,707361,295.0,351,0.09999999999999998,True,False
21,707702,255.0,341,0.09999999999999998,True,False
22,708045,250.0,343,0.09999999999999998,True,False
23,708478,485.0,433,0.09999999999999998,True,False
24,709015,445.0,537,0.09999999999999998,True,False
25,709495,395.0,480,0.09999999999999998,True,False
26,709798,285.0,303,0.09999999999999998,True,False
27,710124,245.0,326,0.09999999999999998,True,False
28,710617,295.0,493,0.09999999999999998,True,False
29,711289,485.0,672,0.09999999999999998,True,False
30,711564,130.0,275,0.09999999999999998,True,False
31,711745,155.0,181,0.09999999999999998,True,False
32,711946,180.0,201,0.09999999999999998,True,False
33,712351,330.0,405,0.09999999999999998,True,False
34,712711,205.0,360,0.09999999999999998,True,False
35,712872,60.0,161,0.09999999999999998,True,False
36,713195,240.0,323,0.09999999999999998,True,False
37,713603,320.0,408,0.09999999999999998,True,False
38,713751,65.0,148,0.09999999999999998,True,False
39,713952,155.0,201,0.09999999999999998,True,False
40,714604,620.0,652,0.09999999999999998,True,False
41,715463,715.0,859,0.09999999999999998,True,False
42,715879,325.0,416,0.09999999999999998,True,False
43,716028,35.0,149,0.09999999999999998,True,False
44,716183,45.0,155,0.09999999999999998,True,False
45,716689,300.0,506,0.09999999999999998,True,False
46,717081,290.0,392,0.09999999999999998,True,False
47,717393,170.0,312,0.09999999999999998,True,False
48,717901,340.0,508,0.09999999999999998,True,False
49,718339,210.0,438,0.09999999999999998,True,False
50,718844,270.0,505,0.09999999999999998,True,False
51,719046,80.0,202,0.09999999999999998,True,False
52,719358,235.0,312,0.09999999999999998,True,False
53,719691,435.0,333,0.09999999999999998,True,False
54,720026,280.0,335,0.09999999999999998,True,False
55,720566,345.0,540,0.09999999999999998,True,False
56,720730,45.0,164,0.09999999999999998,True,False
57,721256,435.0,526,0.09999999999999998,True,False
58,721579,285.0,323,0.09999999999999998,True,False
59,722122,345.0,543,0.09999999999999998,True,False
60,722442,280.0,320,0.09999999999999998,True,False
61,723076,440.0,634,0.09999999999999998,True,False
62,723967,600.0,891,0.09999999999999998,True,False
63,724361,255.0,394,0.09999999999999998,True,False
64,724682,215.0,321,0.09999999999999998,True,False
65,725101,200.0,419,0.09999999999999998,True,False
66,725814,485.0,713,0.09999999999999998,True,False
67,726187,205.0,373,0.09999999999999998,True,False
68,726533,275.0,346,0.09999999999999998,True,False
69,726915,285.0,382,0.09999999999999998,True,False
70,727215,440.0,300,0.09999999999999998,True,False
71,727876,460.0,661,0.09999999999999998,True,False
72,728266,230.0,390,0.09999999999999998,True,False
73,728633,240.0,367,0.09999999999999998,True,False
74,729047,215.0,414,0.09999999999999998,True,False
75,729403,255.0,356,0.09999999999999998,True,False
76,730241,660.0,838,0.09999999999999998,True,False
77,730520,135.0,279,0.09999999999999998,True,False
78,730888,230.0,368,0.09999999999999998,True,False
79,731050,60.0,162,0.09999999999999998,True,False
80,731426,255.0,376,0.09999999999999998,True,False
81,731718,190.0,292,0.09999999999999998,True,False
82,732516,520.0,798,0.09999999999999998,True,False
83,732978,355.0,462,0.09999999999999998,True,False
84,733396,160.0,418,0.09999999999999998,True,False
85,733961,420.0,565,0.09999999999999998,True,False
86,734267,235.0,306,0.09999999999999998,True,False
87,734424,105.0,157,0.09999999999999998,True,False
88,734953,440.0,529,0.09999999999999998,True,False
89,735409,365.0,456,0.09999999999999998,True,False
90,735586,100.0,177,0.09999999999999998,True,False
91,735876,170.0,290,0.09999999999999998,True,False
92,736161,210.0,285,0.09999999999999998,True,False
93,736477,280.0,316,0.09999999999999998,True,False
94,736667,110.0,190,0.09999999999999998,True,False
95,737165,410.0,498,0.09999999999999998,True,False
96,737832,545.0,667,0.09999999999999998,True,False
97,738154,250.0,322,0.09999999999999998,True,False
98,738466,175.0,312,0.09999999999999998,True,False
99,738604,70.0,138,0.09999999999999998,True,False
100,738867,135.0,263,0.09999999999999998,True,False
101,739057,120.0,190,0.09999999999999998,True,False
102,739652,290.0,595,0.09999999999999998,True,False
103,740054,185.0,402,0.09999999999999998,True,False
104,740233,65.0,179,0.09999999999999998,True,False
105,740440,135.0,207,0.09999999999999998,True,False
106,740838,335.0,398,0.09999999999999998,True,False
107,740998,105.0,160,0.09999999999999998,True,False
108,741512,440.0,514,0.09999999999999998,True,False
109,741810,230.0,298,0.09999999999999998,True,False
110,742094,290.0,284,0.09999999999999998,True,False
111,742431,260.0,337,0.09999999999999998,True,False
112,743016,400.0,585,0.09999999999999998,True,False
113,743451,270.0,435,0.09999999999999998,True,False
114,743800,235.0,349,0.09999999999999998,True,False
115,744330,440.0,530,0.09999999999999998,True,False
116,744652,385.0,322,0.09999999999999998,True,False
117,744933,255.0,281,0.09999999999999998,True,False
118,745251,260.0,318,0.09999999999999998,True,False
119,745839,405.0,588,0.09999999999999998,True,False
120,746218,265.0,379,0.09999999999999998,True,False
121,746866,370.0,648,0.09999999999999998,True,False
122,747188,270.0,322,0.09999999999999998,True,False
123,747465,225.0,277,0.09999999999999998,True,False
124,747619,30.0,154,0.09999999999999998,True,False
125,747954,255.0,335,0.09999999999999998,True,False
126,748421,365.0,467,0.09999999999999998,True,False
127,748729,340.0,308,0.09999999999999998,True,False
128,749187,505.0,458,0.09999999999999998,True,False
129,749491,245.0,304,0.09999999999999998,True,False
130,749940,330.0,449,0.09999999999999998,True,False
131,750262,265.0,322,0.09999999999999998,True,False
132,750436,105.0,174,0.09999999999999998,True,False
133,750794,280.0,358,0.09999999999999998,True,False
134,751240,250.0,446,0.09999999999999998,True,False
135,751776,575.0,536,0.09999999999999998,True,False
136,752094,465.0,318,0.09999999999999998,True,False
137,752274,125.0,180,0.09999999999999998,True,False
138,752469,180.0,195,0.09999999999999998,True,False
139,752803,260.0,334,0.09999999999999998,True,False
140,753098,295.0,295,0.09999999999999998,True,False
141,753307,90.0,209,0.09999999999999998,True,False
142,753607,260.0,300,0.09999999999999998,True,False
143,753903,245.0,296,0.09999999999999998,True,False
144,754232,235.0,329,0.09999999999999998,True,False
145,754878,475.0,646,0.09999999999999998,True,False
146,755370,525.0,492,0.09999999999999998,True,False
147,755645,155.0,275,0.09999999999999998,True,False
148,756148,425.0,503,0.09999999999999998,True,False
149,756453,275.0,305,0.09999999999999998,True,False
150,756725,200.0,272,0.09999999999999998,True,False
