paso_global,promedio,mediana,desviacion,minimo,maximo
750000,403.0,425.0,55.641710972974224,295.0,455.0
800000,366.0,380.0,59.782940710540494,270.0,435.0
850000,433.0,395.0,111.65124271587845,315.0,645.0
900000,414.0,410.0,58.0,335.0,515.0
950000,501.0,495.0,83.39064695755754,420.0,650.0
1000000,454.0,440.0,47.89572005931219,405.0,545.0
1050000,418.0,475.0,127.73409881468612,185.0,555.0
1100000,408.0,390.0,112.98672488394378,250.0,545.0
1150000,386.0,370.0,96.40539403996023,265.0,545.0
1200000,434.0,515.0,129.9384469662463,210.0,555.0
1250000,509.0,515.0,209.5089496895061,155.0,800.0
1300000,439.0,455.0,80.83316151184488,305.0,535.0
1350000,488.0,475.0,104.04806581575652,360.0,670.0
1400000,393.0,370.0,77.23988606931007,305.0,515.0
1450000,380.0,310.0,189.86837546047525,215.0,750.0
1500000,383.0,350.0,117.2433366976563,255.0,605.0
1550000,487.0,465.0,149.8866238194723,275.0,730.0
1600000,387.0,380.0,53.81449618829484,305.0,470.0
1650000,451.0,500.0,157.90503475190397,185.0,635.0
1700000,252.0,260.0,39.319206502675,180.0,300.0
1750000,468.0,545.0,120.06664815842908,315.0,595.0
1800000,426.0,415.0,64.21837743200929,355.0,525.0
1850000,397.0,365.0,70.75309180523492,300.0,495.0
1900000,498.0,510.0,31.874754901018456,440.0,530.0
1950000,398.0,340.0,103.56640381899915,300.0,545.0
2000000,514.0,480.0,80.89499366462674,440.0,650.0
