episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
0,149,0.0,149,0.9994636,True,False
1,377,30.0,228,0.9986428,True,False
2,519,10.0,142,0.9981316,True,False
3,665,35.0,146,0.997606,True,False
4,824,30.0,159,0.9970336,True,False
5,1077,120.0,253,0.9961228,True,False
6,1250,30.0,173,0.9955,True,False
7,1436,15.0,186,0.9948304,True,False
8,1595,50.0,159,0.994258,True,False
9,2082,120.0,487,0.9925048,True,False
10,2264,15.0,182,0.9918496,True,False
11,2364,0.0,100,0.9914896,True,False
12,2653,110.0,289,0.9904492,True,False
13,2845,85.0,192,0.989758,True,False
14,3123,85.0,278,0.9887572,True,False
15,3555,120.0,432,0.987202,True,False
16,3719,45.0,164,0.9866116,True,False
17,3995,55.0,276,0.985618,True,False
18,4089,0.0,94,0.9852796,True,False
19,4339,65.0,250,0.9843796,True,False
20,4764,320.0,425,0.9828496,True,False
21,4916,60.0,152,0.9823024,True,False
22,5102,50.0,186,0.9816328,True,False
23,5405,290.0,303,0.980542,True,False
24,5533,5.0,128,0.9800812,True,False
25,5688,20.0,155,0.9795232,True,False
26,5840,45.0,152,0.978976,True,False
27,6014,75.0,174,0.9783496,True,False
28,6157,0.0,143,0.9778348,True,False
29,6312,30.0,155,0.9772768000000001,True,False
30,6702,165.0,390,0.9758728,True,False
31,6860,60.0,158,0.975304,True,False
32,7022,60.0,162,0.9747208,True,False
33,7163,15.0,141,0.9742132,True,False
34,7338,30.0,175,0.9735832,True,False
35,7500,45.0,162,0.973,True,False
36,7691,65.0,191,0.9723124,True,False
37,7878,65.0,187,0.9716392,True,False
38,8018,50.0,140,0.9711352,True,False
39,8233,50.0,215,0.9703612,True,False
40,8386,20.0,153,0.9698104,True,False
41,8544,45.0,158,0.9692416,True,False
42,8752,75.0,208,0.9684928,True,False
43,8907,105.0,155,0.9679348,True,False
44,8989,0.0,82,0.9676396,True,False
45,9136,35.0,147,0.9671104,True,False
46,9357,35.0,221,0.9663148,True,False
47,9546,30.0,189,0.9656344,True,False
48,9771,30.0,225,0.9648244,True,False
49,10197,125.0,426,0.9632908,True,False
50,10593,135.0,396,0.9618652,True,False
51,10730,20.0,137,0.961372,True,False
52,10879,30.0,149,0.9608356,True,False
53,11066,80.0,187,0.9601624,True,False
54,11236,15.0,170,0.9595504,True,False
55,11421,45.0,185,0.9588844,True,False
56,11662,80.0,241,0.9580168,True,False
57,11803,5.0,141,0.9575092000000001,True,False
58,11995,15.0,192,0.956818,True,False
59,12245,120.0,250,0.955918,True,False
60,12535,105.0,290,0.954874,True,False
61,12696,30.0,161,0.9542944,True,False
62,13112,135.0,416,0.9527968,True,False
63,13500,90.0,388,0.9514,True,False
64,13602,10.0,102,0.9510328,True,False
65,13802,90.0,200,0.9503128,True,False
66,13983,55.0,181,0.9496612,True,False
67,14131,5.0,148,0.9491284,True,False
68,14536,120.0,405,0.9476704,True,False
69,14716,75.0,180,0.9470224,True,False
70,14910,80.0,194,0.9463239999999999,True,False
71,15081,45.0,171,0.9457084,True,False
72,15180,10.0,99,0.945352,True,False
73,15352,15.0,172,0.9447328,True,False
74,15597,35.0,245,0.9438508,True,False
75,15760,20.0,163,0.943264,True,False
76,15932,5.0,172,0.9426448,True,False
77,16392,195.0,460,0.9409888,True,False
78,16556,105.0,164,0.9403984,True,False
79,16718,5.0,162,0.9398152,True,False
80,16935,105.0,217,0.939034,True,False
81,17081,5.0,146,0.9385084,True,False
82,17372,55.0,291,0.9374608,True,False
83,17544,20.0,172,0.9368415999999999,True,False
84,18079,290.0,535,0.9349156,True,False
85,18290,30.0,211,0.934156,True,False
86,18456,30.0,166,0.9335584,True,False
87,18905,135.0,449,0.931942,True,False
88,19346,170.0,441,0.9303544,True,False
89,19587,90.0,241,0.9294868000000001,True,False
90,19751,50.0,164,0.9288964,True,False
91,19902,25.0,151,0.9283528,True,False
92,20050,0.0,148,0.92782,True,False
93,20227,30.0,177,0.9271828,True,False
94,20403,10.0,176,0.9265492,True,False
95,20605,25.0,202,0.925822,True,False
96,20824,30.0,219,0.9250336,True,False
97,21003,15.0,179,0.9243892,True,False
98,21163,5.0,160,0.9238132,True,False
99,21302,0.0,139,0.9233127999999999,True,False
100,21458,50.0,156,0.9227512,True,False
101,21731,210.0,273,0.9217684,True,False
102,22023,90.0,292,0.9207172,True,False
103,22264,30.0,241,0.9198496,True,False
104,22462,30.0,198,0.9191368,True,False
105,22577,0.0,115,0.9187228,True,False
106,22752,35.0,175,0.9180927999999999,True,False
107,22913,30.0,161,0.9175132,True,False
108,23054,5.0,141,0.9170056,True,False
109,23194,15.0,140,0.9165016,True,False
110,23467,60.0,273,0.9155188,True,False
111,23611,5.0,144,0.9150004,True,False
112,23871,155.0,260,0.9140644,True,False
113,24395,430.0,524,0.912178,True,False
114,24553,15.0,158,0.9116092,True,False
