paso_global,promedio,mediana,desviacion,minimo,maximo
50000,168.0,110.0,111.2924076476019,90.0,385.0
100000,192.0,155.0,77.30459236035075,125.0,335.0
150000,354.0,390.0,130.82048769210425,160.0,535.0
200000,250.0,155.0,151.12908389850048,155.0,545.0
250000,453.0,360.0,218.9657507465494,245.0,870.0
300000,326.0,295.0,112.17842929904127,165.0,465.0
350000,242.0,290.0,106.42368157510809,95.0,350.0
400000,524.0,520.0,235.8686074915439,270.0,945.0
450000,440.0,455.0,98.64076236526155,290.0,545.0
500000,470.0,515.0,125.777581468241,225.0,575.0
550000,269.0,280.0,27.459060435491963,215.0,290.0
600000,474.0,460.0,147.898613921835,300.0,710.0
650000,444.0,465.0,72.89718787443039,350.0,540.0
700000,482.0,490.0,135.15176654413364,285.0,670.0
750000,420.0,390.0,175.07141400011596,220.0,710.0
800000,522.0,465.0,189.8578415552015,290.0,780.0
850000,495.0,510.0,137.7679207943562,290.0,700.0
900000,351.0,400.0,115.29960971312956,165.0,500.0
950000,509.0,480.0,141.04609175726918,365.0,775.0
1000000,525.0,575.0,177.11578134090706,260.0,775.0
