paso_global,promedio,mediana,desviacion,minimo,maximo
1050000,467.0,450.0,98.31581764904364,345.0,585.0
1100000,394.0,425.0,80.46117075956576,280.0,490.0
1150000,421.0,410.0,159.41769036088812,215.0,695.0
1200000,528.0,515.0,50.05996404313531,465.0,600.0
1250000,523.0,570.0,149.25146565444507,320.0,740.0
1300000,423.0,380.0,94.42457307290302,320.0,570.0
1350000,368.0,365.0,124.12090879461043,165.0,520.0
1400000,458.0,505.0,133.3641631023867,250.0,600.0
1450000,264.0,275.0,50.83306010855534,175.0,330.0
1500000,266.0,265.0,31.843366656181317,220.0,310.0
1550000,452.0,440.0,98.82307422864359,300.0,605.0
1600000,421.0,415.0,78.3198569968051,320.0,555.0
1650000,576.0,660.0,234.0598214132447,130.0,770.0
1700000,534.0,515.0,115.47294055318761,340.0,655.0
1750000,549.0,530.0,86.74099376880577,470.0,705.0
1800000,409.0,445.0,154.6415209444087,175.0,610.0
1850000,503.0,500.0,209.3704850259463,295.0,880.0
1900000,508.0,575.0,89.25245094673872,380.0,590.0
1950000,563.0,575.0,131.85598204101322,375.0,755.0
2000000,328.0,305.0,127.6949489995591,175.0,490.0
