agente,episodio,seed,recompensa_total,pasos,terminated,truncated
Double DQN,0,42,150.0,383,True,False
Double DQN,1,43,200.0,390,True,False
Double DQN,2,44,340.0,588,True,False
Double DQN,3,45,280.0,674,True,False
Double DQN,4,46,340.0,735,True,False
Double DQN,5,47,260.0,582,True,False
Double DQN,6,48,195.0,542,True,False
Double DQN,7,49,310.0,538,True,False
Double DQN,8,50,105.0,342,True,False
Double DQN,9,51,285.0,872,True,False
Double DQN,10,52,300.0,649,True,False
Double DQN,11,53,255.0,769,True,False
Double DQN,12,54,405.0,712,True,False
Double DQN,13,55,240.0,480,True,False
Double DQN,14,56,140.0,526,True,False
Double DQN,15,57,265.0,691,True,False
Double DQN,16,58,120.0,282,True,False
Double DQN,17,59,200.0,613,True,False
Double DQN,18,60,225.0,806,True,False
Double DQN,19,61,370.0,663,True,False
Double DQN,20,62,170.0,388,True,False
Double DQN,21,63,510.0,706,True,False
Double DQN,22,64,340.0,895,True,False
Double DQN,23,65,325.0,795,True,False
Double DQN,24,66,225.0,553,True,False
Double DQN,25,67,135.0,310,True,False
Double DQN,26,68,410.0,623,True,False
Double DQN,27,69,155.0,501,True,False
Double DQN,28,70,320.0,596,True,False
Double DQN,29,71,925.0,1238,True,False
