agente,episodio,seed,recompensa_total,pasos,terminated,truncated
double DQN extendido,0,42,200.0,398,True,False
double DQN extendido,1,43,285.0,509,True,False
double DQN extendido,2,44,245.0,436,True,False
double DQN extendido,3,45,600.0,1229,True,False
double DQN extendido,4,46,675.0,751,True,False
double DQN extendido,5,47,230.0,542,True,False
double DQN extendido,6,48,515.0,668,True,False
double DQN extendido,7,49,375.0,719,True,False
double DQN extendido,8,50,330.0,506,True,False
double DQN extendido,9,51,290.0,663,True,False
double DQN extendido,10,52,200.0,414,True,False
double DQN extendido,11,53,220.0,499,True,False
double DQN extendido,12,54,250.0,538,True,False
double DQN extendido,13,55,300.0,504,True,False
double DQN extendido,14,56,230.0,371,True,False
double DQN extendido,15,57,235.0,426,True,False
double DQN extendido,16,58,270.0,618,True,False
double DQN extendido,17,59,505.0,727,True,False
double DQN extendido,18,60,365.0,581,True,False
double DQN extendido,19,61,360.0,643,True,False
double DQN extendido,20,62,300.0,510,True,False
double DQN extendido,21,63,605.0,1184,True,False
double DQN extendido,22,64,400.0,760,True,False
double DQN extendido,23,65,240.0,421,True,False
double DQN extendido,24,66,285.0,534,True,False
double DQN extendido,25,67,510.0,993,True,False
double DQN extendido,26,68,275.0,414,True,False
double DQN extendido,27,69,230.0,371,True,False
double DQN extendido,28,70,230.0,580,True,False
double DQN extendido,29,71,335.0,726,True,False
