agente,episodio,seed,recompensa_total,pasos,terminated,truncated
DQN + PER,0,42,295.0,711,True,False
DQN + PER,1,43,280.0,509,True,False
DQN + PER,2,44,315.0,618,True,False
DQN + PER,3,45,240.0,555,True,False
DQN + PER,4,46,245.0,534,True,False
DQN + PER,5,47,230.0,528,True,False
DQN + PER,6,48,165.0,367,True,False
DQN + PER,7,49,400.0,569,True,False
DQN + PER,8,50,250.0,522,True,False
DQN + PER,9,51,325.0,740,True,False
DQN + PER,10,52,170.0,294,True,False
DQN + PER,11,53,340.0,588,True,False
DQN + PER,12,54,215.0,493,True,False
DQN + PER,13,55,350.0,461,True,False
DQN + PER,14,56,155.0,489,True,False
DQN + PER,15,57,185.0,499,True,False
DQN + PER,16,58,320.0,602,True,False
DQN + PER,17,59,430.0,922,True,False
DQN + PER,18,60,170.0,395,True,False
DQN + PER,19,61,335.0,589,True,False
DQN + PER,20,62,180.0,404,True,False
DQN + PER,21,63,540.0,645,True,False
DQN + PER,22,64,160.0,434,True,False
DQN + PER,23,65,235.0,446,True,False
DQN + PER,24,66,345.0,565,True,False
DQN + PER,25,67,285.0,534,True,False
DQN + PER,26,68,430.0,812,True,False
DQN + PER,27,69,330.0,791,True,False
DQN + PER,28,70,200.0,655,True,False
DQN + PER,29,71,340.0,805,True,False
