agente,episodio,seed,recompensa_total,pasos,terminated,truncated
DQN + PER + 3-step,0,42,520.0,816,True,False
DQN + PER + 3-step,1,43,485.0,812,True,False
DQN + PER + 3-step,2,44,350.0,507,True,False
DQN + PER + 3-step,3,45,700.0,766,True,False
DQN + PER + 3-step,4,46,440.0,626,True,False
DQN + PER + 3-step,5,47,320.0,565,True,False
DQN + PER + 3-step,6,48,335.0,453,True,False
DQN + PER + 3-step,7,49,490.0,896,True,False
DQN + PER + 3-step,8,50,330.0,593,True,False
DQN + PER + 3-step,9,51,210.0,522,True,False
DQN + PER + 3-step,10,52,500.0,777,True,False
DQN + PER + 3-step,11,53,570.0,691,True,False
DQN + PER + 3-step,12,54,435.0,582,True,False
DQN + PER + 3-step,13,55,520.0,896,True,False
DQN + PER + 3-step,14,56,365.0,609,True,False
DQN + PER + 3-step,15,57,400.0,674,True,False
DQN + PER + 3-step,16,58,415.0,589,True,False
DQN + PER + 3-step,17,59,595.0,619,True,False
DQN + PER + 3-step,18,60,545.0,894,True,False
DQN + PER + 3-step,19,61,545.0,692,True,False
DQN + PER + 3-step,20,62,485.0,635,True,False
DQN + PER + 3-step,21,63,420.0,620,True,False
DQN + PER + 3-step,22,64,410.0,647,True,False
DQN + PER + 3-step,23,65,545.0,803,True,False
DQN + PER + 3-step,24,66,310.0,522,True,False
DQN + PER + 3-step,25,67,430.0,715,True,False
DQN + PER + 3-step,26,68,570.0,830,True,False
DQN + PER + 3-step,27,69,575.0,803,True,False
DQN + PER + 3-step,28,70,770.0,877,True,False
DQN + PER + 3-step,29,71,415.0,629,True,False
