agente,episodio,seed,recompensa_total,pasos,terminated,truncated
DQN vanilla,0,42,290.0,582,True,False
DQN vanilla,1,43,320.0,524,True,False
DQN vanilla,2,44,540.0,1128,True,False
DQN vanilla,3,45,385.0,598,True,False
DQN vanilla,4,46,215.0,360,True,False
DQN vanilla,5,47,375.0,814,True,False
DQN vanilla,6,48,235.0,502,True,False
DQN vanilla,7,49,240.0,548,True,False
DQN vanilla,8,50,335.0,572,True,False
DQN vanilla,9,51,420.0,630,True,False
DQN vanilla,10,52,405.0,1052,True,False
DQN vanilla,11,53,250.0,481,True,False
DQN vanilla,12,54,340.0,640,True,False
DQN vanilla,13,55,590.0,683,True,False
DQN vanilla,14,56,670.0,824,True,False
DQN vanilla,15,57,655.0,913,True,False
DQN vanilla,16,58,460.0,894,True,False
DQN vanilla,17,59,660.0,821,True,False
DQN vanilla,18,60,330.0,662,True,False
DQN vanilla,19,61,235.0,506,True,False
DQN vanilla,20,62,300.0,629,True,False
DQN vanilla,21,63,305.0,631,True,False
DQN vanilla,22,64,645.0,1252,True,False
DQN vanilla,23,65,380.0,974,True,False
DQN vanilla,24,66,360.0,526,True,False
DQN vanilla,25,67,445.0,823,True,False
DQN vanilla,26,68,425.0,639,True,False
DQN vanilla,27,69,585.0,597,True,False
DQN vanilla,28,70,475.0,851,True,False
DQN vanilla,29,71,330.0,518,True,False
