agente,episodio,seed,recompensa_total,pasos,terminated,truncated
DQN vanilla extendido,0,42,515.0,975,True,False
DQN vanilla extendido,1,43,440.0,590,True,False
DQN vanilla extendido,2,44,470.0,594,True,False
DQN vanilla extendido,3,45,270.0,514,True,False
DQN vanilla extendido,4,46,520.0,853,True,False
DQN vanilla extendido,5,47,385.0,603,True,False
DQN vanilla extendido,6,48,350.0,543,True,False
DQN vanilla extendido,7,49,415.0,691,True,False
DQN vanilla extendido,8,50,275.0,439,True,False
DQN vanilla extendido,9,51,425.0,624,True,False
DQN vanilla extendido,10,52,495.0,600,True,False
DQN vanilla extendido,11,53,510.0,980,True,False
DQN vanilla extendido,12,54,380.0,686,True,False
DQN vanilla extendido,13,55,425.0,645,True,False
DQN vanilla extendido,14,56,715.0,830,True,False
DQN vanilla extendido,15,57,525.0,642,True,False
DQN vanilla extendido,16,58,500.0,863,True,False
DQN vanilla extendido,17,59,215.0,386,True,False
DQN vanilla extendido,18,60,455.0,904,True,False
DQN vanilla extendido,19,61,470.0,596,True,False
DQN vanilla extendido,20,62,350.0,571,True,False
DQN vanilla extendido,21,63,465.0,776,True,False
DQN vanilla extendido,22,64,420.0,713,True,False
DQN vanilla extendido,23,65,285.0,473,True,False
DQN vanilla extendido,24,66,525.0,837,True,False
DQN vanilla extendido,25,67,600.0,862,True,False
DQN vanilla extendido,26,68,345.0,594,True,False
DQN vanilla extendido,27,69,335.0,539,True,False
DQN vanilla extendido,28,70,360.0,735,True,False
DQN vanilla extendido,29,71,305.0,532,True,False
