agente,episodio,seed,recompensa_total,pasos,terminated,truncated
Dueling Double DQN,0,42,505.0,657,True,False
Dueling Double DQN,1,43,290.0,581,True,False
Dueling Double DQN,2,44,330.0,719,True,False
Dueling Double DQN,3,45,215.0,509,True,False
Dueling Double DQN,4,46,365.0,765,True,False
Dueling Double DQN,5,47,320.0,781,True,False
Dueling Double DQN,6,48,215.0,689,True,False
Dueling Double DQN,7,49,215.0,539,True,False
Dueling Double DQN,8,50,210.0,399,True,False
Dueling Double DQN,9,51,580.0,734,True,False
Dueling Double DQN,10,52,210.0,603,True,False
Dueling Double DQN,11,53,180.0,621,True,False
Dueling Double DQN,12,54,180.0,583,True,False
Dueling Double DQN,13,55,360.0,911,True,False
Dueling Double DQN,14,56,155.0,502,True,False
Dueling Double DQN,15,57,240.0,516,True,False
Dueling Double DQN,16,58,555.0,985,True,False
Dueling Double DQN,17,59,200.0,534,True,False
Dueling Double DQN,18,60,260.0,790,True,False
Dueling Double DQN,19,61,210.0,563,True,False
Dueling Double DQN,20,62,180.0,521,True,False
Dueling Double DQN,21,63,220.0,539,True,False
Dueling Double DQN,22,64,165.0,395,True,False
Dueling Double DQN,23,65,285.0,532,True,False
Dueling Double DQN,24,66,185.0,515,True,False
Dueling Double DQN,25,67,320.0,544,True,False
Dueling Double DQN,26,68,180.0,395,True,False
Dueling Double DQN,27,69,205.0,552,True,False
Dueling Double DQN,28,70,180.0,465,True,False
Dueling Double DQN,29,71,185.0,486,True,False
