agente,episodio,seed,recompensa_total,pasos,terminated,truncated
DQN + PER a=0.4 + 3-step extendido,0,42,630.0,1109,True,False
DQN + PER a=0.4 + 3-step extendido,1,43,400.0,726,True,False
DQN + PER a=0.4 + 3-step extendido,2,44,455.0,911,True,False
DQN + PER a=0.4 + 3-step extendido,3,45,280.0,645,True,False
DQN + PER a=0.4 + 3-step extendido,4,46,490.0,882,True,False
DQN + PER a=0.4 + 3-step extendido,5,47,330.0,613,True,False
DQN + PER a=0.4 + 3-step extendido,6,48,295.0,533,True,False
DQN + PER a=0.4 + 3-step extendido,7,49,485.0,880,True,False
DQN + PER a=0.4 + 3-step extendido,8,50,250.0,656,True,False
DQN + PER a=0.4 + 3-step extendido,9,51,960.0,1674,True,False
DQN + PER a=0.4 + 3-step extendido,10,52,385.0,710,True,False
DQN + PER a=0.4 + 3-step extendido,11,53,365.0,617,True,False
DQN + PER a=0.4 + 3-step extendido,12,54,525.0,761,True,False
DQN + PER a=0.4 + 3-step extendido,13,55,195.0,433,True,False
DQN + PER a=0.4 + 3-step extendido,14,56,455.0,995,True,False
DQN + PER a=0.4 + 3-step extendido,15,57,580.0,820,True,False
DQN + PER a=0.4 + 3-step extendido,16,58,330.0,615,True,False
DQN + PER a=0.4 + 3-step extendido,17,59,485.0,914,True,False
DQN + PER a=0.4 + 3-step extendido,18,60,430.0,727,True,False
DQN + PER a=0.4 + 3-step extendido,19,61,370.0,631,True,False
DQN + PER a=0.4 + 3-step extendido,20,62,545.0,924,True,False
DQN + PER a=0.4 + 3-step extendido,21,63,430.0,813,True,False
DQN + PER a=0.4 + 3-step extendido,22,64,280.0,730,True,False
DQN + PER a=0.4 + 3-step extendido,23,65,180.0,424,True,False
DQN + PER a=0.4 + 3-step extendido,24,66,445.0,824,True,False
DQN + PER a=0.4 + 3-step extendido,25,67,430.0,756,True,False
DQN + PER a=0.4 + 3-step extendido,26,68,380.0,658,True,False
DQN + PER a=0.4 + 3-step extendido,27,69,365.0,576,True,False
DQN + PER a=0.4 + 3-step extendido,28,70,465.0,854,True,False
DQN + PER a=0.4 + 3-step extendido,29,71,440.0,781,True,False
