agente,episodio,seed,recompensa_total,pasos,terminated,truncated
DQN + PER a=0.6 + 3-step (2.7M),0,42,330.0,615,True,False
DQN + PER a=0.6 + 3-step (2.7M),1,43,410.0,711,True,False
DQN + PER a=0.6 + 3-step (2.7M),2,44,600.0,909,True,False
DQN + PER a=0.6 + 3-step (2.7M),3,45,570.0,1003,True,False
DQN + PER a=0.6 + 3-step (2.7M),4,46,735.0,768,True,False
DQN + PER a=0.6 + 3-step (2.7M),5,47,530.0,866,True,False
DQN + PER a=0.6 + 3-step (2.7M),6,48,920.0,1079,True,False
DQN + PER a=0.6 + 3-step (2.7M),7,49,605.0,819,True,False
DQN + PER a=0.6 + 3-step (2.7M),8,50,470.0,831,True,False
DQN + PER a=0.6 + 3-step (2.7M),9,51,325.0,618,True,False
DQN + PER a=0.6 + 3-step (2.7M),10,52,420.0,792,True,False
DQN + PER a=0.6 + 3-step (2.7M),11,53,600.0,1050,True,False
DQN + PER a=0.6 + 3-step (2.7M),12,54,485.0,953,True,False
DQN + PER a=0.6 + 3-step (2.7M),13,55,690.0,1156,True,False
DQN + PER a=0.6 + 3-step (2.7M),14,56,500.0,1246,True,False
DQN + PER a=0.6 + 3-step (2.7M),15,57,360.0,586,True,False
DQN + PER a=0.6 + 3-step (2.7M),16,58,450.0,692,True,False
DQN + PER a=0.6 + 3-step (2.7M),17,59,715.0,1008,True,False
DQN + PER a=0.6 + 3-step (2.7M),18,60,345.0,611,True,False
DQN + PER a=0.6 + 3-step (2.7M),19,61,715.0,720,True,False
DQN + PER a=0.6 + 3-step (2.7M),20,62,455.0,573,True,False
DQN + PER a=0.6 + 3-step (2.7M),21,63,480.0,792,True,False
DQN + PER a=0.6 + 3-step (2.7M),22,64,410.0,635,True,False
DQN + PER a=0.6 + 3-step (2.7M),23,65,500.0,956,True,False
DQN + PER a=0.6 + 3-step (2.7M),24,66,480.0,841,True,False
DQN + PER a=0.6 + 3-step (2.7M),25,67,370.0,592,True,False
DQN + PER a=0.6 + 3-step (2.7M),26,68,570.0,928,True,False
DQN + PER a=0.6 + 3-step (2.7M),27,69,410.0,666,True,False
DQN + PER a=0.6 + 3-step (2.7M),28,70,400.0,631,True,False
DQN + PER a=0.6 + 3-step (2.7M),29,71,470.0,901,True,False
